hero,region,division,pickrate,winrate,banrate
mizuki,europe,silver,15.8,51.8,1.3
moira,europe,silver,37.6,51.0,13.2
orisa,europe,silver,13.4,45.6,13.6
pharah,europe,silver,5.0,51.3,21.2
ramattra,europe,silver,10.7,49.7,11.1
reaper,europe,silver,9.1,51.2,2.1
reinhardt,europe,silver,13.5,53.2,5.1
roadhog,europe,silver,6.2,45.8,8.4
shion,europe,silver,9.9,48.8,1.3
sierra,europe,silver,16.2,49.6,27.5
sigma,europe,silver,10.3,49.2,4.7
sojourn,europe,silver,10.3,44.5,0.4
soldier-76,europe,silver,18.1,49.1,0.8
sombra,europe,silver,2.7,48.8,56.1
symmetra,europe,silver,3.0,50.3,2.1
torbjorn,europe,silver,6.0,52.1,0.7
tracer,europe,silver,3.7,50.2,4.4
vendetta,europe,silver,3.6,51.8,4.2
venture,europe,silver,2.0,52.1,0.3
widowmaker,europe,silver,4.5,48.3,10.3
winston,europe,silver,3.2,48.8,3.2
wrecking-ball,europe,silver,2.0,50.1,6.8
wuyang,europe,silver,5.2,50.2,0.1
zarya,europe,silver,3.2,50.3,56.6
zenyatta,europe,silver,10.6,52.9,1.0
ana,europe,gold,24.4,48.6,12.7
anran,europe,gold,7.8,51.4,31.4
ashe,europe,gold,12.9,51.1,1.8
baptiste,europe,gold,6.2,46.4,0.1
bastion,europe,gold,17.1,47.6,8.5
brigitte,europe,gold,3.2,49.7,0.1
cassidy,europe,gold,14.4,48.2,2.6
dmon,europe,gold,10.2,54.4,11.6
domina,europe,gold,4.3,48.8,5.2
doomfist,europe,gold,4.8,53.1,21.6
dva,europe,gold,5.7,45.2,3.3
echo,europe,gold,3.4,48.2,0.5
emre,europe,gold,6.7,47.4,0.2
freja,europe,gold,6.4,48.8,6.0
genji,europe,gold,9.1,53.3,7.8
hanzo,europe,gold,8.8,50.4,1.8
hazard,europe,gold,2.2,50.8,1.9
illari,europe,gold,5.2,48.9,0.1
jetpack-cat,europe,gold,7.4,53.4,35.0
junker-queen,europe,gold,3.4,52.0,0.3
junkrat,europe,gold,11.6,49.5,4.8
juno,europe,gold,18.8,51.1,0.3
kiriko,europe,gold,31.4,46.5,2.6
lifeweaver,europe,gold,12.7,48.2,0.4
lucio,europe,gold,5.2,50.5,0.6
mauga,europe,gold,6.0,49.5,31.2
mei,europe,gold,9.3,50.6,6.2
mercy,europe,gold,19.7,48.6,9.2
mizuki,europe,gold,14.9,51.0,2.3
moira,europe,gold,35.0,49.8,8.0
orisa,europe,gold,12.4,45.0,12.3
pharah,europe,gold,4.6,51.8,16.2
ramattra,europe,gold,10.1,48.3,10.3
reaper,europe,gold,9.8,50.2,2.0
reinhardt,europe,gold,13.6,53.2,3.1
roadhog,europe,gold,7.0,46.4,10.9
shion,europe,gold,8.7,48.8,1.1
sierra,europe,gold,14.2,49.2,24.4
sigma,europe,gold,10.1,49.1,4.1
sojourn,europe,gold,10.2,45.1,0.6
soldier-76,europe,gold,19.2,49.0,0.9
sombra,europe,gold,3.1,48.4,43.9
symmetra,europe,gold,3.1,49.1,2.3
torbjorn,europe,gold,5.5,51.8,0.6
tracer,europe,gold,4.1,50.3,3.4
vendetta,europe,gold,3.4,52.0,4.0
venture,europe,gold,2.1,51.5,0.4
widowmaker,europe,gold,4.5,50.2,8.3
winston,europe,gold,3.8,48.7,3.5
wrecking-ball,europe,gold,2.3,51.0,8.4
wuyang,europe,gold,5.0,51.1,0.1
zarya,europe,gold,3.9,48.6,58.2
zenyatta,europe,gold,10.8,53.2,1.7
ana,europe,platinum,31.3,49.1,14.1
anran,europe,platinum,7.0,51.6,28.2
ashe,europe,platinum,14.0,51.4,2.2
baptiste,europe,platinum,7.0,46.9,0.1
bastion,europe,platinum,14.3,47.1,8.5
brigitte,europe,platinum,3.3,49.4,0.1
cassidy,europe,platinum,18.4,46.8,5.9
dmon,europe,platinum,11.1,54.6,11.3
domina,europe,platinum,3.8,48.9,4.2
doomfist,europe,platinum,5.9,52.7,24.7
dva,europe,platinum,5.4,45.9,5.6
echo,europe,platinum,3.4,49.2,0.5
emre,europe,platinum,6.9,47.6,0.3
freja,europe,platinum,6.9,49.5,15.5
genji,europe,platinum,11.7,53.1,8.6
hanzo,europe,platinum,9.1,50.4,2.7
hazard,europe,platinum,2.8,51.3,3.6
illari,europe,platinum,4.7,49.0,0.1
jetpack-cat,europe,platinum,7.9,53.9,35.7
junker-queen,europe,platinum,3.8,52.1,0.3
junkrat,europe,platinum,9.0,50.1,3.2
juno,europe,platinum,18.1,51.3,0.2
kiriko,europe,platinum,33.8,46.1,4.3
lifeweaver,europe,platinum,12.5,48.2,0.6
lucio,europe,platinum,4.5,50.9,0.5
mauga,europe,platinum,5.6,48.9,31.9
mei,europe,platinum,8.8,49.9,4.7
mercy,europe,platinum,17.5,49.6,11.6
mizuki,europe,platinum,13.0,50.5,4.5
moira,europe,platinum,29.8,49.0,4.6
orisa,europe,platinum,10.8,44.6,11.0
pharah,europe,platinum,4.2,52.3,12.0
ramattra,europe,platinum,8.3,47.1,8.7
reaper,europe,platinum,9.4,49.5,1.6
reinhardt,europe,platinum,13.0,52.4,2.2
roadhog,europe,platinum,7.5,47.0,15.5
shion,europe,platinum,8.1,49.4,1.0
sierra,europe,platinum,11.7,48.9,16.9
sigma,europe,platinum,9.7,49.0,4.3
sojourn,europe,platinum,11.6,45.9,1.1
soldier-76,europe,platinum,18.8,48.9,0.6
sombra,europe,platinum,3.7,48.2,27.6
symmetra,europe,platinum,2.9,49.5,2.2
torbjorn,europe,platinum,4.7,51.6,0.5
tracer,europe,platinum,5.3,51.0,3.8
vendetta,europe,platinum,3.1,51.9,3.1
venture,europe,platinum,2.1,51.7,0.5
widowmaker,europe,platinum,5.0,51.3,9.4
winston,europe,platinum,4.5,49.2,3.7
wrecking-ball,europe,platinum,3.0,51.5,13.0
wuyang,europe,platinum,5.3,51.3,0.1
zarya,europe,platinum,4.8,47.9,48.7
zenyatta,europe,platinum,11.3,53.3,2.7
ana,europe,diamond,43.3,49.8,9.8
anran,europe,diamond,4.9,51.1,7.6
ashe,europe,diamond,12.0,51.1,1.2
baptiste,europe,diamond,7.2,47.1,0.1
bastion,europe,diamond,9.4,47.9,5.5
brigitte,europe,diamond,5.7,50.5,0.3
cassidy,europe,diamond,25.5,45.7,15.3
dmon,europe,diamond,13.1,53.6,15.8
domina,europe,diamond,2.4,50.8,1.0
doomfist,europe,diamond,9.8,50.8,17.7
dva,europe,diamond,5.3,46.7,19.0
echo,europe,diamond,5.3,51.1,0.5
emre,europe,diamond,6.7,48.0,0.3
freja,europe,diamond,6.9,51.0,48.7
genji,europe,diamond,16.8,52.2,3.6
hanzo,europe,diamond,7.4,48.9,2.1
hazard,europe,diamond,5.4,52.2,12.3
illari,europe,diamond,4.4,49.8,0.1
jetpack-cat,europe,diamond,9.5,54.7,49.8
